DIPUTADO,CARÁCTER,SISTEMA,DISTRITO,PARTIDO
C. MARISELA AYALA ELIZALDE,PROPIETARIO,Mayoria Relativa,I,PRI
C. José Luis Gómez Flores.,SUPLENTE,,,
C. AXXEL GONZALO SOTELO ESPINOSA DE LOS MONTEROS,PROPIETARIO,Mayoria Relativa,II,PRI
C. María Guadalupe Ceseña De La Peña,SUPLENTE,,,
C. JUAN DOMINGO CARBALLO RUIZ,PROPIETARIO,Mayoria Relativa,III,PRS
C. Beatriz Alejandra Grajeda Jaramillo,SUPLENTE,,,
C. PABLO SERGIO BARRON PINTO,PROPIETARIO,Mayoria Relativa,IV,PAN
C. Julio Cervando Higuera Marquez,SUPLENTE,,,
C. JISELA PAES MARTINEZ,PROPIETARIO,Mayoria Relativa,V,PAN
C. Susana Natalia Rubio Lucero,SUPLENTE,,,
C. RAMON ALVARADO HIGUERA,PROPIETARIO,Mayoria Relativa,VI,PRI
C. Rosalia Nuñez Beltran,SUPLENTE,,,
C. CARLOS CASTRO CESEÑA,PROPIETARIO,Mayoria Relativa,VII,PRD
C. Victor Raúl Marron Rosas,SUPLENTE,,,
C. VICTOR ERNESTO IBARRA MONTOYA,PROPIETARIO,Mayoria Relativa,VIII,PAN
C. Margarita Amalia Salcido Cota,SUPLENTE,,,
C. GIL CUEVA TABARDILLO,PROPIETARIO,Mayoria Relativa,IX,PAN
C. Luis Eduardo Espinoza Camargo,SUPLENTE,,,
C. ADELA GONZALEZ  MORENO,PROPIETARIO,Mayoria Relativa,X,PAN
C. Gregorio Efrain Alvarez Garcia.,SUPLENTE,,,
C. ARTURO TORRES LEDESMA,PROPIETARIO,Mayoria Relativa,XI,PRS
C. Catalina Virginia Pérez Camacho,SUPLENTE,,,
C. DORA ELDA OROPEZA VILLALEJO,PROPIETARIO,Mayoria Relativa,XII,PAN
C. Maria De Los Angeles Arias Bastida,SUPLENTE,,,
C. SANDRA LUZ ELIZARRARAS CARDOSO,PROPIETARIO,Mayoria Relativa,XIII,PRI
Rene Arturo Davis Davis,SUPLENTE,,,
C. LUIS MARTIN PEREZ MURRIETA,PROPIETARIO,Mayoria Relativa,XIV,PAN
C. David Garcia Araiza,SUPLENTE,,,
C. JESUS SALVADOR VERDUGO OJEDA,PROPIETARIO,Mayoria Relativa,XV,PRD
C. Jesús Arnoldo Alvarez Juarez,SUPLENTE,,,
C. ALBERTO TREVIÑO ANGULO,PROPIETARIO,Mayoria Relativa,XVI,PRD
C.  Juan Carlos Manriquez Castillo,SUPLENTE,,,
C. JUAN ALBERTO FEDERICO VALDIVIA ALVARADO,PROPIETARIO,Representación Proporcional,,PRI
C. Cesareo Mayoral Meza,SUPLENTE,,,
C. OMAR ANTONIO ZAVALA AGUNDEZ,PROPIETARIO,Representación Proporcional,,PRI
C. Alicia Liz Castro Vargas,SUPLENTE,,,
C. EDITH  AGUILAR VILLAVICENCIO,PROPIETARIO,Representación Proporcional,,PRD
C. Martina Villavicencio Ibarra,SUPLENTE,,,
C. SANTOS RIVAS GARCIA,PROPIETARIO,Representación Proporcional,,CONVERGENCIA
C. Hernan Osniel Bareño Murillo,SUPLENTE,,,
C. GUADALUPE OLAY DAVIS,PROPIETARIO,Representación Proporcional,,PANAL
C. Manuel Salvador Murillo Osuna,SUPLENTE,,,
