nombre,partido,muni
Marcelo Toledo Cruz, Morena,I Tuxtla Oriente
Maya De León Villard, PES,II Tuxtla Poniente
Juan Pablo Montes De Oca Avendaño, Morena,III Chiapa de Corzo
Flor De María Guirao Aguilar, PRI,IV Yajalon
Juan Salvador Camacho Velasco, Morena,V San Cristóbal
Rosa Elizabeth Bonilla Hidalgo, PT,VI Comitán
Tania Guadalupe Martínez Forsland, PVEM,VII Ocosingo
Omar Molina Zenteno,Independiente,VIII Simojovel
Eduwiges Cabáñez Cruz, PT,IX Palenque
Emilio Enrique Salazar Farías, PVEM,X Frontera Comalapa
Iris Adriana Aguilar Pavón, PCU,XI Bochil
Dulce María Rodríguez Ovando, PVEM,XII Pichucalco
Carolina Elizabeth Sohlé Gómez, Morena,XIII Tuxtla Oriente
Fidel Álvarez Toledo, PVEM,XIV Cintalapa
Patricia Ruiz Vilchis, PT,XV Villaflores
Olvita Palomeque Pineda, Morena,XVI Huixtla
Miguel Ángel Córdova Ochoa, PCU,XVII Motozintla
Silvia Torreblanca Alfaro, PES,XVIII Mapastepec
Cinthya Vianney Reyes Sumuano, PES,XIX Tapachula
María Elena Villatoro Culebro, PCU,XX Las Margaritas
Valeria Santiago Barrientos, PVEM,XXI Tenejapa
Mario Sántiz Gómez, PRI,XXII Chamula
José Octavio García Macías, PT,XXIII Villa Corzo
Sergio Rivas Vázquez, PES,XXIV Cacahoatan
Adriana Bustamante Castellanos, Morena,Plurinominal
Aida Guadalupe Jiménez Sesma, PRI,Plurinominal
Ana Laura Romero Basurto, PMC,Plurinominal
Dulce Consuelo Gallegos Mijangos, PMC,Plurinominal
Haydeé Ocampo Olvera, PRI,Plurinominal
Janette Ovando Reazola, PAN,Plurinominal
Jorge Jhonattan Molina Morales, Morena,Plurinominal
Luz María Palacios Farrera, PRI,Plurinominal
María Obdulia Megchún López, Morena,Plurinominal
Mayra Alicia Mendoza Álvarez, Morena,Plurinominal
Nairobi Ojeda Arellano, PT,Plurinominal
Nolberto Farfán Solís, Morena,Plurinominal
Olga Luz Espinosa Morales, PRD,Plurinominal
Patricia Mass Lazos, Morena,Plurinominal
Ricardo Zepeda Gutiérrez, Morena,Plurinominal
Rosa Netro Rodríguez, PCU,Plurinominal
