DTO LUGAR,PRINCIPIO,
I Tuxtla Gutiérrez Ote,MR,PRI
II Tuxtla Gutiérrez Pte,MR,PVEM
III Chiapa De Corzo,MR,PRI
IV Venustiano Carranza,MR,PRI
V San Cristóbal De Las,MR,PRI
VI Comitán De Domínguez,MR,PVEM
VII Ocosingo,MR,PRI
VIII Yajalon,MR,PVEM
IX Palenque,MR,MC
X Bochil,MR,PRI
XI Pueblo Nuevo S.,MR,PRI
XII Pichucalco,MR,PVEM
XIII Copainalá,MR,PRI
XIV Cintalapa,MR,PVEM
XV Tonalá,MR,POR CHIAPAS
XVI Huixtla,MR,PVEM
XVII Motozintla,MR,POR CHIAPAS
XVIII Tapachula Zona Alta,MR,PRI
XIX Tapachula Baja,MR,PAN
"XX Margaritas, Las",MR,PVEM
XXI Tenejapa,MR,PRI
XXII Chamula,MR,PRI
XXIII Villaflores,MR,PVEM
XXIV Cacahoatán,MR,PVEM
Circunscripción espel,MR,POR CHIAPAS
Mirna Lucre Camacho,RP,PAN
Alma Rosa Siman Estefan,RP,PRI
Alejandra Soriano Ruiz,RP,PRD
Obdulia Magdalena Torres,RP,PVEM
Itzel Francisca de León,RP,PAN
Blanca Ruth Esponda,RP,PRI
Sonia Catalina Álvarez,RP,PT
Sasil Dora de León Villard,RP,PVEM
Gloria Trinidad Luna Ruiz,RP,PAN
Flor Angel Jiménez,RP,PRI
Roxana Magdalena Gordillo,RP,MC
José Angel Córdova Toledo,RP,PVEM
María Soledad Sandoval,RP,PRI
José Antonio Albores,RP,PRI
Horten Zúñiga Torres,RP,PRD
Luis Fernando Castellanos,RP,PVEM
