NOMBRE DIPUTADO(A),FRA,DIST,MUNICIPIO
JOSE MANUEL ROMERO COELLO,PRI,I,COLIMA
FEDERICO RANGEL LOZANO,PRI,III,COLIMA
MELY ROMERO CELIS,PRI,VI,CUAUHTEMOC
ENRIQUE ROJAS OROZCO,PRI,VII,V. DE ALVAREZ
ERNESTO GERMAN VIRGEN VERDUZCO,PRI,X,IXTLAHUACAN
ARMIDA NUÑEZ GARCIA,PRI,XI,MANZANILLO
FRANCISCO ALBERTO ZEPEDA GLEZ.,PRI,XII,MANZANILLO
CICERON A. MANCILLA GONZALEZ,PRI,XIV,MINATITLAN
HECTOR RAUL VAZQUEZ MONTES,PRI,XVI,TECOMAN
MA. DEL SOCORRO RIVERA CARRILLO,PRI,PLURI,COLIMA
RIGOBERTO SALAZAR VELASCO,PRI,PLURI,COLIMA
VICTOR JACOBO VAZQUEZ CERDA,PRI,PLURI,COLIMA
JOSE GUILLEMO RANGEL LOZANO,PRI,PLURI,COLIMA
ITZEL SARAHI RIOS DE LA MORA,PRI,PLURI,COLIMA
NICOLAS CONTRERAS CORTES,PNA,II,COLIMA
ALFREDO HERNANDEZ RAMOS,PNA,VIII,V. DE ALVAREZ
JUAN ROBERTO BARBOSA LOPEZ,PNA,XIII,MANZANILLO
LEONEL GONZALEZ VALENCIA,PAN,IV,COMALA
SALVADOR FUENTES PEDROZA,PAN,V,COQUIMATLAN
JOSE LUIS LOPEZ GONZALEZ,PAN,IX,ARMERIA
LUIS ALFREDO DIAZ BLAKE,PAN,XV,TECOMAN
MILTON DE ALBA GUTIERREZ,PAN,PLURI,COLIMA
PATRICIA LUGO BARRIGA,PAN,PLURI,COLIMA
RAYMUNDO GONZALEZ SALDAÑA,PAN,PLURI,COLIMA
OLAF PRESA MENDOZA,PT,PLURI,COLIMA
JOSE MANUEL ROMERO COELLO,PRI,I,COLIMA
FEDERICO RANGEL LOZANO,PRI,III,COLIMA
MELY ROMERO CELIS,PRI,VI,CUAUHTEMOC
ENRIQUE ROJAS OROZCO,PRI,VII,V. DE ALVAREZ
ERNESTO GERMAN VIRGEN VERDUZCO,PRI,X,IXTLAHUACAN
ARMIDA NUÑEZ GARCIA,PRI,XI,MANZANILLO
FRANCISCO ALBERTO ZEPEDA GLEZ.,PRI,XII,MANZANILLO
CICERON A. MANCILLA GONZALEZ,PRI,XIV,MINATITLAN
HECTOR RAUL VAZQUEZ MONTES,PRI,XVI,TECOMAN
MA. DEL SOCORRO RIVERA CARRILLO,PRI,PLURI,COLIMA
RIGOBERTO SALAZAR VELASCO,PRI,PLURI,COLIMA
VICTOR JACOBO VAZQUEZ CERDA,PRI,PLURI,COLIMA
JOSE GUILLEMO RANGEL LOZANO,PRI,PLURI,COLIMA
ITZEL SARAHI RIOS DE LA MORA,PRI,PLURI,COLIMA
NICOLAS CONTRERAS CORTES,PNA,II,COLIMA
ALFREDO HERNANDEZ RAMOS,PNA,VIII,V. DE ALVAREZ
JUAN ROBERTO BARBOSA LOPEZ,PNA,XIII,MANZANILLO
LEONEL GONZALEZ VALENCIA,PAN,IV,COMALA
SALVADOR FUENTES PEDROZA,PAN,V,COQUIMATLAN
JOSE LUIS LOPEZ GONZALEZ,PAN,IX,ARMERIA
LUIS ALFREDO DIAZ BLAKE,PAN,XV,TECOMAN
MILTON DE ALBA GUTIERREZ,PAN,PLURI,COLIMA
PATRICIA LUGO BARRIGA,PAN,PLURI,COLIMA
RAYMUNDO GONZALEZ SALDAÑA,PAN,PLURI,COLIMA
OLAF PRESA MENDOZA,PT,PLURI,COLIMA
